Source,Destination,Distance(KM),Total_Time(hr),Cost_per_KM
47,46,236.96,5.92,710.88
47,45,235.16,5.88,705.48
47,51,767.5,19.19,2302.5
47,6,1038.01,25.95,3114.03
47,20,745.05,18.63,2235.15
47,56,955.83,23.9,2867.49
47,35,1371.69,34.29,4115.07
47,48,210.49,5.26,631.47
47,57,968.86,24.22,2906.58
47,58,968.18,24.2,2904.54
47,42,372.93,9.32,1118.79
47,13,1237.4,30.94,3712.2
47,14,1236.78,30.92,3710.34
47,37,977.61,24.44,2932.83
47,30,1014.36,25.36,3043.08
47,5,2434.59,60.86,7303.77
47,41,746.02,18.65,2238.06
47,52,805.07,20.13,2415.21
47,26,1035.62,25.89,3106.86
47,21,605.78,15.14,1817.34
47,28,1032.73,25.82,3098.19
47,36,894.26,22.36,2682.78
47,44,570.27,14.26,1710.81
47,43,570.68,14.27,1712.04
47,10,1139.64,28.49,3418.92
47,32,354.58,8.86,1063.74
47,33,356.12,8.9,1068.36
47,3,1808.22,45.21,5424.66
47,9,1667.71,41.69,5003.13
47,34,1305.84,32.65,3917.52
47,59,1089.03,27.23,3267.09
47,16,642.79,16.07,1928.37
47,29,1041.21,26.03,3123.63
47,8,854.84,21.37,2564.52
47,40,724.68,18.12,2174.04
47,11,1363.25,34.08,4089.75
47,23,914.26,22.86,2742.78
47,4,1486.36,37.16,4459.08
47,25,938.8,23.47,2816.4
47,15,657.88,16.45,1973.64
47,27,975.76,24.39,2927.28
47,55,2134.01,53.35,6402.03
47,39,875.65,21.89,2626.95
47,49,831.75,20.79,2495.25
47,17,635.06,15.88,1905.18
47,38,970.45,24.26,2911.35
47,0,1039.93,26.0,3119.79
47,1,1060.88,26.52,3182.64
47,22,889.54,22.24,2668.62
47,2,1041.01,26.03,3123.03
47,18,642.5,16.06,1927.5
47,50,859.44,21.49,2578.32
47,60,1912.12,47.8,5736.36
47,7,1276.66,31.92,3829.98
47,61,839.57,20.99,2518.71
31,24,100.23,2.51,300.69
31,47,1025.73,25.64,3077.19
31,54,1798.39,44.96,5395.17
31,53,1812.29,45.31,5436.87
31,19,1505.59,37.64,4516.77
31,12,830.09,20.75,2490.27
31,46,1101.11,27.53,3303.33
31,45,1102.12,27.55,3306.36
31,51,1019.77,25.49,3059.31
31,6,1658.14,41.45,4974.42
31,20,1526.95,38.17,4580.85
31,56,1606.55,40.16,4819.65
31,35,1082.89,27.07,3248.67
31,48,1212.36,30.31,3637.08
31,57,1650.69,41.27,4952.07
31,58,1601.44,40.04,4804.32
31,42,749.42,18.74,2248.26
31,13,1248.45,31.21,3745.35
31,14,1247.83,31.2,3743.49
31,37,174.62,4.37,523.86
31,30,149.68,3.74,449.04
31,5,1938.56,48.46,5815.68
31,41,1111.04,27.78,3333.12
31,52,1779.86,44.5,5339.58
31,26,514.95,12.87,1544.85
31,21,1638.15,40.95,4914.45
31,28,58.36,1.46,175.08
31,36,673.28,16.83,2019.84
31,44,968.77,24.22,2906.31
31,43,967.54,24.19,2902.62
31,10,585.43,14.64,1756.29
31,32,681.43,17.04,2044.29
31,33,677.02,16.93,2031.06
31,3,1753.92,43.85,5261.76
31,9,923.97,23.1,2771.91
31,34,1075.8,26.9,3227.4
31,59,1323.77,33.09,3971.31
31,16,1435.78,35.89,4307.34
31,29,48.29,1.21,144.87
31,8,243.99,6.1,731.97
31,40,1089.71,27.24,3269.13
31,11,619.51,15.49,1858.53
31,23,187.98,4.7,563.94
31,4,1129.74,28.24,3389.22
31,25,148.15,3.7,444.45
31,15,1394.68,34.87,4184.04
31,27,113.18,2.83,339.54
31,55,1637.98,40.95,4913.94
31,39,196.12,4.9,588.36
31,49,643.54,16.09,1930.62
31,17,1431.16,35.78,4293.48
31,38,231.04,5.78,693.12
31,0,118.36,2.96,355.08
31,1,99.4,2.49,298.2
31,22,217.54,5.44,652.62
31,2,96.5,2.41,289.5
31,18,1418.05,35.45,4254.15
31,50,599.33,14.98,1797.99
31,60,2138.52,53.46,6415.56
31,7,1911.17,47.78,5733.51
31,61,650.09,16.25,1950.27
54,24,1719.34,42.98,5158.02
54,47,2302.41,57.56,6907.23
54,31,1804.66,45.12,5413.98
54,53,18.28,0.46,54.84
54,19,3036.2,75.9,9108.6
54,12,1195.55,29.89,3586.65
54,46,2209.6,55.24,6628.8
54,45,2210.52,55.26,6631.56
54,51,2775.72,69.39,8327.16
54,6,2515.39,62.88,7546.17
54,20,3038.5,75.96,9115.5
54,56,2567.79,64.19,7703.37
54,35,968.11,24.2,2904.33
54,48,2441.15,61.03,7323.45
54,57,2614.36,65.36,7843.08
54,58,2549.31,63.73,7647.93
54,42,1938.52,48.46,5815.56
54,13,1302.03,32.55,3906.09
54,14,1304.64,32.62,3913.92
54,37,1954.31,48.86,5862.93
54,30,1652.34,41.31,4957.02
54,5,534.3,13.36,1602.9
54,41,1971.63,49.29,5914.89
54,52,2889.18,72.23,8667.54
54,26,1420.33,35.51,4260.99
54,21,2888.24,72.21,8664.72
54,28,1753.24,43.83,5259.72
54,36,1426.14,35.65,4278.42
54,44,1844.96,46.12,5534.88
54,43,1847.56,46.19,5542.68
54,10,1286.88,32.17,3860.64
54,32,2160.82,54.02,6482.46
54,33,2141.0,53.52,6423.0
54,3,1484.2,37.11,4452.6
54,9,556.02,13.9,1668.06
54,34,1032.82,25.82,3098.46
54,59,1909.96,47.75,5729.88
54,16,2936.24,73.41,8808.72
54,29,1776.21,44.41,5328.63
54,8,1744.26,43.61,5232.78
54,40,1950.3,48.76,5850.9
54,11,1233.34,30.83,3700.02
54,23,1726.62,43.17,5179.86
54,4,851.28,21.28,2553.84
54,25,1774.39,44.36,5323.17
54,15,2930.49,73.26,8791.47
54,27,1762.16,44.05,5286.48
54,55,261.11,6.53,783.33
54,39,1941.71,48.54,5825.13
54,49,2441.32,61.03,7323.96
54,17,2928.51,73.21,8785.53
54,38,2010.72,50.27,6032.16
54,0,1866.02,46.65,5598.06
54,1,1846.72,46.17,5540.16
54,22,1686.84,42.17,5060.52
54,2,1842.37,46.06,5527.11
54,18,2935.95,73.4,8807.85
54,50,2397.1,59.93,7191.3
54,60,2459.21,61.48,7377.63
54,7,2702.53,67.56,8107.59
54,61,2447.86,61.2,7343.58
53,24,1721.44,43.04,5164.32
53,47,2304.5,57.61,6913.5
53,31,1806.76,45.17,5420.28
53,54,18.11,0.45,54.33
53,19,3038.3,75.96,9114.9
53,12,1197.64,29.94,3592.92
53,46,2211.7,55.29,6635.1
53,45,2212.61,55.32,6637.83
53,51,2777.81,69.45,8333.43
53,6,2517.48,62.94,7552.44
53,20,3040.6,76.02,9121.8
53,56,2569.89,64.25,7709.67
53,35,970.2,24.26,2910.6
53,48,2443.24,61.08,7329.72
53,57,2616.46,65.41,7849.38
53,58,2551.4,63.78,7654.2
53,42,1940.61,48.52,5821.83
53,13,1304.12,32.6,3912.36
53,14,1306.73,32.67,3920.19
53,37,1956.4,48.91,5869.2
53,30,1654.43,41.36,4963.29
53,5,521.58,13.04,1564.74
53,41,1973.72,49.34,5921.16
53,52,2891.28,72.28,8673.84
53,26,1422.42,35.56,4267.26
53,21,2890.34,72.26,8671.02
53,28,1755.33,43.88,5265.99
53,36,1428.23,35.71,4284.69
53,44,1847.05,46.18,5541.15
53,43,1849.66,46.24,5548.98
53,10,1288.98,32.22,3866.94
53,32,2162.91,54.07,6488.73
53,33,2143.09,53.58,6429.27
53,3,1486.3,37.16,4458.9
53,9,558.12,13.95,1674.36
53,34,1034.91,25.87,3104.73
53,59,1912.06,47.8,5736.18
53,16,2938.34,73.46,8815.02
53,29,1778.31,44.46,5334.93
53,8,1746.35,43.66,5239.05
53,40,1952.39,48.81,5857.17
53,11,1235.43,30.89,3706.29
53,23,1728.72,43.22,5186.16
53,4,853.38,21.33,2560.14
53,25,1776.48,44.41,5329.44
53,15,2932.59,73.31,8797.77
53,27,1764.25,44.11,5292.75
53,55,248.49,6.21,745.47
53,39,1943.8,48.6,5831.4
53,49,2443.41,61.09,7330.23
53,17,2930.61,73.27,8791.83
53,38,2012.82,50.32,6038.46
53,0,1868.11,46.7,5604.33
53,1,1848.82,46.22,5546.46
53,22,1688.93,42.22,5066.79
53,2,1844.46,46.11,5533.38
53,18,2938.05,73.45,8814.15
53,50,2399.2,59.98,7197.6
53,60,2461.31,61.53,7383.93
53,7,2704.62,67.62,8113.86
53,61,2449.96,61.25,7349.88
19,24,1601.62,40.04,4804.86
19,47,742.27,18.56,2226.81
19,31,1515.19,37.88,4545.57
19,54,3032.75,75.82,9098.25
19,53,3046.65,76.17,9139.95
19,12,1869.71,46.74,5609.13
19,46,929.54,23.24,2788.62
19,45,927.73,23.19,2783.19
19,51,657.74,16.44,1973.22
19,6,1582.12,39.55,4746.36
19,20,28.4,0.71,85.2
19,56,1416.08,35.4,4248.24
19,35,2115.2,52.88,6345.6
19,48,695.76,17.39,2087.28
19,57,1411.23,35.28,4233.69
19,58,1432.11,35.8,4296.33
19,42,1105.21,27.63,3315.63
19,13,1980.92,49.52,5942.76
19,14,1980.3,49.51,5940.9
19,37,1462.38,36.56,4387.14
19,30,1594.7,39.87,4784.1
19,5,3172.92,79.32,9518.76
19,41,1469.33,36.73,4407.99
19,52,1042.91,26.07,3128.73
19,26,1653.69,41.34,4961.07
19,21,577.23,14.43,1731.69
19,28,1562.28,39.06,4686.84
19,36,1626.55,40.66,4879.65
19,44,1293.58,32.34,3880.74
19,43,1293.99,32.35,3881.97
19,10,1768.28,44.21,5304.84
19,32,902.76,22.57,2708.28
19,33,904.3,22.61,2712.9
19,3,2551.73,63.79,7655.19
19,9,2268.08,56.7,6804.24
19,34,2049.35,51.23,6148.05
19,59,1812.34,45.31,5437.02
19,16,165.24,4.13,495.72
19,29,1556.85,38.92,4670.55
19,8,1399.78,34.99,4199.34
19,40,1447.99,36.2,4343.97
19,11,1963.62,49.09,5890.86
19,23,1459.21,36.48,4377.63
19,4,2229.87,55.75,6689.61
19,25,1483.75,37.09,4451.25
19,15,131.32,3.28,393.96
19,27,1493.33,37.33,4479.99
19,55,2872.34,71.81,8617.02
19,39,1360.42,34.01,4081.26
19,49,1024.14,25.6,3072.42
19,17,126.96,3.17,380.88
19,38,1455.22,36.38,4365.66
19,0,1524.71,38.12,4574.13
19,1,1545.65,38.64,4636.95
19,22,1464.02,36.6,4392.06
19,2,1525.79,38.14,4577.37
19,18,104.14,2.6,312.42
19,50,1075.55,26.89,3226.65
19,60,2635.43,65.89,7906.29
19,7,1690.03,42.25,5070.09
19,61,1021.76,25.54,3065.28
12,24,773.34,19.33,2320.02
12,47,1134.87,28.37,3404.61
12,31,806.41,20.16,2419.23
12,54,1190.15,29.75,3570.45
12,53,1204.05,30.1,3612.15
12,19,1868.67,46.72,5606.01
12,46,1041.94,26.05,3125.82
12,45,1042.86,26.07,3128.58
12,51,1607.19,40.18,4821.57
12,6,1408.83,35.22,4226.49
12,20,1870.97,46.77,5612.91
12,56,1461.23,36.53,4383.69
12,35,348.83,8.72,1046.49
12,48,1273.49,31.84,3820.47
12,57,1507.8,37.7,4523.4
12,58,1442.74,36.07,4328.22
12,42,770.98,19.27,2312.94
12,13,429.1,10.73,1287.3
12,14,428.48,10.71,1285.44
12,37,974.14,24.35,2922.42
12,30,664.37,16.61,1993.11
12,5,1330.32,33.26,3990.96
12,41,803.97,20.1,2411.91
12,52,1721.52,43.04,5164.56
12,26,325.04,8.13,975.12
12,21,1720.58,43.01,5161.74
12,28,756.72,18.92,2270.16
12,36,258.6,6.47,775.8
12,44,677.3,16.93,2031.9
12,43,679.9,17.0,2039.7
12,10,261.77,6.54,785.31
12,32,993.28,24.83,2979.84
12,33,973.46,24.34,2920.38
12,3,983.35,24.58,2950.05
12,9,622.15,15.55,1866.45
12,34,324.3,8.11,972.9
12,59,817.66,20.44,2452.98
12,16,1768.71,44.22,5306.13
12,29,775.99,19.4,2327.97
12,8,688.85,17.22,2066.55
12,40,782.64,19.57,2347.92
12,11,361.09,9.03,1083.27
12,23,694.11,17.35,2082.33
12,4,433.62,10.84,1300.86
12,25,739.92,18.5,2219.76
12,15,1762.96,44.07,5288.88
12,27,776.88,19.42,2330.64
12,55,1029.74,25.74,3089.22
12,39,907.24,22.68,2721.72
12,49,1413.09,35.33,4239.27
12,17,1760.98,44.02,5282.94
12,38,1030.56,25.76,3091.68
12,0,920.02,23.0,2760.06
12,1,900.73,22.52,2702.19
12,22,652.37,16.31,1957.11
12,2,896.37,22.41,2689.11
12,18,1768.42,44.21,5305.26
12,50,1368.87,34.22,4106.61
12,60,1545.86,38.65,4637.58
12,7,1614.28,40.36,4842.84
12,61,1419.63,35.49,4258.89
46,24,1138.57,28.46,3415.71
46,47,237.05,5.93,711.15
46,31,1103.68,27.59,3311.04
46,54,2203.09,55.08,6609.27
46,53,2216.98,55.42,6650.94
46,19,930.75,23.27,2792.25
46,12,1042.55,26.06,3127.65
46,45,4.78,0.12,14.34
46,51,980.45,24.51,2941.35
46,6,814.31,20.36,2442.93
46,20,932.96,23.32,2798.88
46,56,737.75,18.44,2213.25
46,35,1280.36,32.01,3841.08
46,48,243.79,6.09,731.37
46,57,750.78,18.77,2252.34
46,58,749.0,18.73,2247.0
46,42,387.08,9.68,1161.24
46,13,1092.92,27.32,3278.76
46,14,1092.3,27.31,3276.9
46,37,1139.58,28.49,3418.74
46,30,1041.34,26.03,3124.02
46,5,2343.25,58.58,7029.75
46,41,552.56,13.81,1657.68
46,52,680.78,17.02,2042.34
46,26,1016.86,25.42,3050.58
46,21,710.34,17.76,2131.02
46,28,1059.71,26.49,3179.13
46,36,860.25,21.51,2580.75
46,44,376.81,9.42,1130.43
46,43,377.22,9.43,1131.66
46,10,1076.2,26.9,3228.6
46,32,534.45,13.36,1603.35
46,33,518.72,12.97,1556.16
46,3,1658.27,41.46,4974.81
46,9,1641.92,41.05,4925.76
46,34,1214.5,30.36,3643.5
46,59,895.57,22.39,2686.71
46,16,798.34,19.96,2395.02
46,29,1068.18,26.7,3204.54
46,8,881.81,22.05,2645.43
46,40,531.22,13.28,1593.66
46,11,1339.43,33.49,4018.29
46,23,941.24,23.53,2823.72
46,4,1395.02,34.88,4185.06
46,25,965.78,24.14,2897.34
46,15,861.54,21.54,2584.62
46,27,1002.73,25.07,3008.19
46,55,2042.67,51.07,6128.01
46,39,941.08,23.53,2823.24
46,49,1044.69,26.12,3134.07
46,17,823.06,20.58,2469.18
46,38,1144.96,28.62,3434.88
46,0,1163.82,29.1,3491.46
46,1,1152.09,28.8,3456.27
46,22,916.51,22.91,2749.53
46,2,1138.0,28.45,3414.0
46,18,846.16,21.15,2538.48
46,50,1072.38,26.81,3217.14
46,60,1718.66,42.97,5155.98
46,7,1058.72,26.47,3176.16
46,61,1052.51,26.31,3157.53
45,24,1139.16,28.48,3417.48
45,47,234.82,5.87,704.46
45,31,1104.28,27.61,3312.84
45,54,2203.66,55.09,6610.98
45,53,2217.56,55.44,6652.68
45,19,928.52,23.21,2785.56
45,12,1043.12,26.08,3129.36
45,46,4.43,0.11,13.29
45,51,978.22,24.46,2934.66
45,6,818.32,20.46,2454.96
45,20,930.74,23.27,2792.22
45,56,741.76,18.54,2225.28
45,35,1280.93,32.02,3842.79
45,48,241.57,6.04,724.71
45,57,754.78,18.87,2264.34
45,58,753.0,18.82,2259.0
45,42,387.66,9.69,1162.98
45,13,1093.5,27.34,3280.5
45,14,1092.88,27.32,3278.64
45,37,1140.17,28.5,3420.51
45,30,1041.93,26.05,3125.79
45,5,2343.83,58.6,7031.49
45,41,553.13,13.83,1659.39
45,52,671.05,16.78,2013.15
45,26,1017.44,25.44,3052.32
45,21,708.12,17.7,2124.36
45,28,1060.3,26.51,3180.9
45,36,860.82,21.52,2582.46
45,44,377.38,9.43,1132.14
45,43,377.8,9.44,1133.4
45,10,1076.77,26.92,3230.31
45,32,532.22,13.31,1596.66
45,33,516.49,12.91,1549.47
45,3,1658.84,41.47,4976.52
45,9,1642.5,41.06,4927.5
45,34,1215.08,30.38,3645.24
45,59,896.14,22.4,2688.42
45,16,796.12,19.9,2388.36
45,29,1068.78,26.72,3206.34
45,8,882.4,22.06,2647.2
45,40,531.8,13.29,1595.4
45,11,1340.0,33.5,4020.0
45,23,941.83,23.55,2825.49
45,4,1395.6,34.89,4186.8
45,25,966.37,24.16,2899.11
45,15,859.31,21.48,2577.93
45,27,1003.32,25.08,3009.96
45,55,2043.25,51.08,6129.75
45,39,941.67,23.54,2825.01
45,49,1042.47,26.06,3127.41
45,17,820.83,20.52,2462.49
45,38,1145.55,28.64,3436.65
45,0,1164.41,29.11,3493.23
45,1,1152.68,28.82,3458.04
45,22,917.1,22.93,2751.3
45,2,1138.59,28.46,3415.77
45,18,843.93,21.1,2531.79
45,50,1070.16,26.75,3210.48
45,60,1719.23,42.98,5157.69
45,7,1062.73,26.57,3188.19
45,61,1050.29,26.26,3150.87
51,24,1109.51,27.74,3328.53
51,47,759.68,18.99,2279.04
51,31,1024.32,25.61,3072.96
51,54,2762.51,69.06,8287.53
51,53,2776.41,69.41,8329.23
51,19,652.07,16.3,1956.21
51,12,1599.46,39.99,4798.38
51,46,973.04,24.33,2919.12
51,45,971.24,24.28,2913.72
51,6,1774.09,44.35,5322.27
51,20,673.43,16.84,2020.29
51,56,1638.36,40.96,4915.08
51,35,1921.19,48.03,5763.57
51,48,878.0,21.95,2634.0
51,57,1641.94,41.05,4925.82
51,58,1654.4,41.36,4963.2
51,42,983.58,24.59,2950.74
51,13,1889.94,47.25,5669.82
51,14,1889.32,47.23,5667.96
51,37,896.5,22.41,2689.5
51,30,1167.37,29.18,3502.11
51,5,2902.68,72.57,8708.04
51,41,1439.64,35.99,4318.92
51,52,1414.82,35.37,4244.46
51,26,1351.07,33.78,4053.21
51,21,1049.26,26.23,3147.78
51,28,1076.04,26.9,3228.12
51,36,1372.08,34.3,4116.24
51,44,1282.26,32.06,3846.78
51,43,1281.03,32.03,3843.09
51,10,1465.66,36.64,4396.98
51,32,630.22,15.76,1890.66
51,33,640.24,16.01,1920.72
51,3,2469.42,61.74,7408.26
51,9,1891.94,47.3,5675.82
51,34,1896.66,47.42,5689.98
51,59,1782.79,44.57,5348.37
51,16,644.05,16.1,1932.15
51,29,1065.97,26.65,3197.91
51,8,1023.63,25.59,3070.89
51,40,1418.31,35.46,4254.93
51,11,1587.48,39.69,4762.44
51,23,1083.06,27.08,3249.18
51,4,2005.98,50.15,6017.94
51,25,1048.75,26.22,3146.25
51,15,552.93,13.82,1658.79
51,27,1038.16,25.95,3114.48
51,55,2602.1,65.05,7806.3
51,39,905.24,22.63,2715.72
51,49,380.43,9.51,1141.29
51,17,631.31,15.78,1893.93
51,38,839.69,20.99,2519.07
51,0,1006.91,25.17,3020.73
51,1,1043.73,26.09,3131.19
51,22,1087.87,27.2,3263.61
51,2,1023.86,25.6,3071.58
51,18,597.79,14.94,1793.37
51,50,431.84,10.8,1295.52
51,60,2605.88,65.15,7817.64
51,7,1944.17,48.6,5832.51
51,61,378.05,9.45,1134.15
6,24,1693.15,42.33,5079.45
6,47,1036.66,25.92,3109.98
6,31,1663.86,41.6,4991.58
6,54,2493.58,62.34,7480.74
6,53,2507.48,62.69,7522.44
6,19,1547.46,38.69,4642.38
6,12,1393.14,34.83,4179.42
6,46,815.17,20.38,2445.51
6,45,818.29,20.46,2454.87
6,51,1763.26,44.08,5289.78
6,20,1549.68,38.74,4649.04
6,56,174.24,4.36,522.72
6,35,1536.19,38.4,4608.57
6,48,886.95,22.17,2660.85
6,57,201.91,5.05,605.73
6,58,163.0,4.08,489.0
6,42,933.87,23.35,2801.61
6,13,1207.53,30.19,3622.59
6,14,1207.23,30.18,3621.69
6,37,1788.25,44.71,5364.75
6,30,1578.8,39.47,4736.4
6,5,2633.75,65.84,7901.25
6,41,642.22,16.06,1926.66
6,52,571.54,14.29,1714.62
6,26,1382.38,34.56,4147.14
6,21,1048.71,26.22,3146.13
6,28,1614.17,40.35,4842.51
6,36,1225.77,30.64,3677.31
6,44,790.64,19.77,2371.92
6,43,793.24,19.83,2379.72
6,10,1441.72,36.04,4325.16
6,32,1271.29,31.78,3813.87
6,33,1251.47,31.29,3754.41
6,3,1442.53,36.06,4327.59
6,9,2007.44,50.19,6022.32
6,34,1470.34,36.76,4411.02
6,59,612.37,15.31,1837.11
6,16,1415.06,35.38,4245.18
6,29,1632.1,40.8,4896.3
6,8,1432.56,35.81,4297.68
6,40,623.61,15.59,1870.83
6,11,1704.95,42.62,5114.85
6,23,1488.55,37.21,4465.65
6,4,1666.81,41.67,5000.43
6,25,1545.35,38.63,4636.05
6,15,1475.1,36.88,4425.3
6,27,1582.3,39.56,4746.9
6,55,2333.17,58.33,6999.51
6,39,1587.08,39.68,4761.24
6,49,1817.32,45.43,5451.96
6,17,1439.77,35.99,4319.31
6,38,1790.96,44.77,5372.88
6,0,1764.66,44.12,5293.98
6,1,1752.93,43.82,5258.79
6,22,1453.97,36.35,4361.91
6,2,1738.84,43.47,5216.52
6,18,1457.07,36.43,4371.21
6,50,1845.01,46.13,5535.03
6,60,1020.85,25.52,3062.55
6,7,259.31,6.48,777.93
6,61,1825.14,45.63,5475.42
20,24,1619.53,40.49,4858.59
20,47,744.95,18.62,2234.85
20,31,1533.1,38.33,4599.3
20,54,3035.43,75.89,9106.29
20,53,3049.33,76.23,9147.99
20,19,29.63,0.74,88.89
20,12,1872.38,46.81,5617.14
20,46,932.96,23.32,2798.88
20,45,931.16,23.28,2793.48
20,51,675.65,16.89,2026.95
20,6,1565.36,39.13,4696.08
20,56,1399.31,34.98,4197.93
20,35,2117.88,52.95,6353.64
20,48,699.18,17.48,2097.54
20,57,1394.46,34.86,4183.38
20,58,1415.35,35.38,4246.05
20,42,1107.89,27.7,3323.67
20,13,1983.59,49.59,5950.77
20,14,1982.97,49.57,5948.91
20,37,1480.29,37.01,4440.87
20,30,1625.72,40.64,4877.16
20,5,3175.6,79.39,9526.8
20,41,1472.75,36.82,4418.25
20,52,1026.15,25.65,3078.45
20,26,1664.67,41.62,4994.01
20,21,560.46,14.01,1681.38
20,28,1580.19,39.5,4740.57
20,36,1629.23,40.73,4887.69
20,44,1297.0,32.42,3891.0
20,43,1297.42,32.44,3892.26
20,10,1779.26,44.48,5337.78
20,32,913.75,22.84,2741.25
20,33,915.28,22.88,2745.84
20,3,2554.41,63.86,7663.23
20,9,2279.07,56.98,6837.21
20,34,2052.03,51.3,6156.09
20,59,1815.76,45.39,5447.28
20,16,150.09,3.75,450.27
20,29,1574.76,39.37,4724.28
20,8,1427.89,35.7,4283.67
20,40,1451.42,36.29,4354.26
20,11,1974.61,49.37,5923.83
20,23,1487.32,37.18,4461.96
20,4,2232.55,55.81,6697.65
20,25,1511.86,37.8,4535.58
20,15,149.24,3.73,447.72
20,27,1511.24,37.78,4533.72
20,55,2875.02,71.88,8625.06
20,39,1378.33,34.46,4134.99
20,49,1042.05,26.05,3126.15
20,17,122.25,3.06,366.75
20,38,1473.13,36.83,4419.39
20,0,1542.62,38.57,4627.86
20,1,1563.56,39.09,4690.68
20,22,1492.13,37.3,4476.39
20,2,1543.7,38.59,4631.1
20,18,117.87,2.95,353.61
20,50,1093.46,27.34,3280.38
20,60,2581.72,64.54,7745.16
20,7,1673.26,41.83,5019.78
20,61,1039.67,25.99,3119.01
56,24,1642.07,41.05,4926.21
56,47,955.56,23.89,2866.68
56,31,1612.78,40.32,4838.34
56,54,2564.87,64.12,7694.61
56,53,2578.77,64.47,7736.31
56,19,1415.28,35.38,4245.84
56,12,1464.44,36.61,4393.32
56,46,740.13,18.5,2220.39
56,45,743.25,18.58,2229.75
56,51,1646.45,41.16,4939.35
56,6,175.21,4.38,525.63
56,20,1397.04,34.93,4191.12
56,35,1607.48,40.19,4822.44
56,48,770.14,19.25,2310.42
56,57,52.02,1.3,156.06
56,58,26.39,0.66,79.17
56,42,876.33,21.91,2628.99
56,13,1278.82,31.97,3836.46
56,14,1278.52,31.96,3835.56
56,37,1740.06,43.5,5220.18
56,30,1527.72,38.19,4583.16
56,5,2705.04,67.63,8115.12
56,41,697.48,17.44,2092.44
56,52,399.7,9.99,1199.1
56,26,1437.64,35.94,4312.92
56,21,882.67,22.07,2648.01
56,28,1563.09,39.08,4689.27
56,36,1281.02,32.03,3843.06
56,44,810.44,20.26,2431.32
56,43,810.86,20.27,2432.58
56,10,1496.97,37.42,4490.91
56,32,1213.75,30.34,3641.25
56,33,1193.93,29.85,3581.79
56,3,1530.81,38.27,4592.43
56,9,2062.69,51.57,6188.07
56,34,1541.63,38.54,4624.89
56,59,717.33,17.93,2151.99
56,16,1254.51,31.36,3763.53
56,29,1581.02,39.53,4743.06
56,8,1381.48,34.54,4144.44
56,40,678.87,16.97,2036.61
56,11,1760.2,44.0,5280.6
56,23,1437.47,35.94,4312.41
56,4,1738.1,43.45,5214.3
56,25,1494.27,37.36,4482.81
56,15,1355.07,33.88,4065.21
56,27,1531.22,38.28,4593.66
56,55,2404.46,60.11,7213.38
56,39,1529.54,38.24,4588.62
56,49,1759.78,43.99,5279.34
56,17,1293.4,32.34,3880.2
56,38,1733.42,43.34,5200.26
56,0,1716.46,42.91,5149.38
56,1,1704.74,42.62,5114.22
56,22,1402.89,35.07,4208.67
56,2,1690.65,42.27,5071.95
56,18,1327.37,33.18,3982.11
56,50,1787.47,44.69,5362.41
56,60,1191.58,29.79,3574.74
56,7,324.32,8.11,972.96
